Keyword,Country code,Location,Language,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
sabor metalico en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",2900,0,0.01,1155,0,1,https://www.vitaldent.com/blog/sabor-metalico-en-la-boca/,AI Overview,2026-03-04 02:01:59,false,true,false,false,false,false
clínica dental vitaldent reseñas,ES,Spain,Spanish,Vitaldent (Organization),"People also ask, Video preview",4600,0,2.43,1137,0,2,https://www.vitaldent.com/es/opiniones/,,2026-03-09 03:03:13,false,true,false,false,true,false
implantes dentales,ES,Spain,Spanish,,"People also ask, Thumbnail, Video preview",10000,5,0.43,999,0,2,https://www.vitaldent.com/blog/tiempo-de-reposo-implante-dental/,People also ask,2026-03-07 03:41:17,false,true,false,false,false,false
precio implante dental vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"Thumbnail, AI Overview, Video preview, People also ask, Sitelinks",1300,1,0.32,940,0,1,https://www.vitaldent.com/blog/precios-implantes-dentales/,,2026-03-02 22:29:09,false,true,true,false,true,false
dolor de muelas que tomar,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",5700,0,0.11,937,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-09 03:31:19,false,true,false,false,false,false
flemon en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",2000,0,0.01,909,0,1,https://www.vitaldent.com/blog/sabes-como-bajar-un-flemon/,AI Overview,2026-03-06 20:56:59,false,true,false,false,false,false
vitaldent precios,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",900,6,0.88,865,0,1,https://www.vitaldent.com/es/ortodoncia/,AI Overview,2026-03-06 03:36:29,false,true,true,false,true,false
brackets invisibles,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview, Local pack",4500,0,1.14,698,0,1,https://www.vitaldent.com/es/ortodoncia-invisible/,AI Overview,2026-03-08 11:01:30,false,true,false,false,false,false
hongos en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask",5500,0,0.01,697,0,1,https://www.vitaldent.com/blog/hongos-en-la-boca/,AI Overview,2026-03-09 19:26:10,false,true,false,false,false,false
empaste,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask",2200,0,0.52,663,0,1,https://www.vitaldent.com/blog/empaste-dental/,AI Overview,2026-02-27 14:50:14,false,true,false,false,false,false
herpes labial,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",25000,2,0.01,652,0,9,https://www.vitaldent.com/blog/herpes-labial/,,2026-03-08 08:23:02,false,true,false,false,false,false
piorrea,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",6100,0,0.02,645,0,1,https://www.vitaldent.com/blog/que-es-la-piorrea-causas-sintomas-y-soluciones-2/,AI Overview,2026-03-08 10:13:47,false,true,false,false,false,false
piorrea que es,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",2100,0,0.11,582,0,1,https://www.vitaldent.com/blog/que-es-la-piorrea-causas-sintomas-y-soluciones-2/,AI Overview,2026-03-08 07:13:51,false,true,false,false,false,false
precio implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Shopping, Video preview",3200,0,0.30,525,0,1,https://www.vitaldent.com/blog/precios-implantes-dentales/,AI Overview,2026-03-08 11:29:45,false,true,true,false,false,false
que tomar para el dolor de muelas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",3400,1,0.09,521,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-10 07:34:48,false,true,false,false,false,false
corona dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",4800,0,0.40,509,0,1,https://www.vitaldent.com/blog/que-es-una-corona-dental/,AI Overview,2026-03-08 01:21:59,false,true,false,false,false,false
ferulas de descarga,ES,Spain,Spanish,,"Thumbnail, People also ask, Video preview",1400,0,0.11,497,0,1,https://www.vitaldent.com/es/ferula-de-descarga/,,2026-03-10 07:27:50,false,true,false,false,false,false
dolor de muelas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",3500,3,0.11,478,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-07 09:36:29,false,true,false,false,false,false
precio prótesis dental removible vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",800,0,0.33,439,0,1,https://clinicas.vitaldent.com/madrid/clinica-dental-vitaldent-mostoles-133,AI Overview,2026-02-28 05:17:00,false,true,true,false,true,false
fluorosis dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",1600,0,0.01,426,0,2,https://www.vitaldent.com/blog/que-es-la-fluorosis-dental/,,2026-03-05 09:34:13,false,true,false,false,false,false
como quitar dolor de muelas muy fuerte,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",900,1,0.34,422,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-06 06:18:25,false,true,false,false,false,false
carillas dientes,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1900,2,0.36,421,0,1,https://www.vitaldent.com/es/carillas-dentales/,AI Overview,2026-03-11 00:24:37,false,true,false,false,false,false
limpieza dental precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",1900,0,0.68,420,0,2,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,,2026-02-25 06:54:21,false,true,false,false,false,false
prótesis dental fija precio vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, Video preview, Sitelinks",500,1,0.33,418,0,1,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,AI Overview,2026-03-08 20:13:53,false,true,true,false,true,false
diseño de sonrisa,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask",1700,0,0.43,418,0,1,https://www.vitaldent.com/es/diseno-de-la-sonrisa/,AI Overview,2026-02-25 19:46:32,false,true,false,false,false,false
carillas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",9900,0,0.65,416,0,2,https://www.vitaldent.com/es/carillas-dentales/,People also ask,2026-03-07 17:36:04,false,true,false,false,false,false
como limpiar la lengua,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",500,0,0.01,402,0,2,https://www.vitaldent.com/blog/como-limpiar-la-lengua/,,2026-02-27 09:46:51,false,true,false,false,false,false
empaste dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",3200,0,0.59,389,0,1,https://www.vitaldent.com/blog/empaste-dental/,AI Overview,2026-03-07 07:02:15,false,true,false,false,false,false
limpieza dental,ES,Spain,Spanish,,"Sitelinks, People also ask, Thumbnail, Local pack, Video preview",6500,0,0.93,387,0,4,https://www.vitaldent.com/es/limpieza-dental-profesional-avanzada/,,2026-03-06 13:39:13,false,true,false,false,false,false
implante dental,ES,Spain,Spanish,,"People also ask, Thumbnail, Video preview",5200,9,0.49,386,0,3,https://www.vitaldent.com/es/implantes-dentales/,,2026-03-08 09:06:36,false,true,false,false,false,false
boca seca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",3600,3,0.02,372,0,5,https://www.vitaldent.com/blog/sequedad-bucal-sintomas-soluciones/,,2026-03-07 10:25:32,false,true,false,false,false,false
muelas del juicio dolor,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",500,0,0.10,371,0,1,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,AI Overview,2026-02-28 14:30:58,false,true,false,false,false,false
protesis dental,ES,Spain,Spanish,,"Thumbnail, People also ask, Video preview",4100,1,0.40,361,0,3,https://www.vitaldent.com/es/protesis-dental/,,2026-03-07 22:03:56,false,true,false,false,false,false
dolor muela del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks",400,0,0.12,359,0,2,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,,2026-02-17 20:56:32,false,true,false,false,false,false
precio blanqueamiento dental vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",400,0,0.49,350,0,1,https://www.vitaldent.com/es/blanqueamiento-dental/,AI Overview,2026-03-03 17:06:46,false,true,true,false,true,false
vital dent,ES,Spain,Spanish,Vitaldent (Organization),"Local pack, Sitelinks, People also ask, Video preview",600,19,0.75,344,0,2,https://www.vitaldent.com/es/,,2026-02-22 19:19:32,false,true,false,false,true,false
vitaldent cerca de mi,ES,Spain,Spanish,Vitaldent (Organization),"Local pack, People also ask, Thumbnail, Video preview",600,34,0.51,343,0,2,https://www.vitaldent.com/es/,People also ask,2026-03-07 11:06:25,false,true,false,false,true,true
dolor de muela del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",400,0,0.12,332,0,2,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,,2026-02-15 11:11:57,false,true,false,false,false,false
cuanto cuesta un implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",1900,0,0.30,325,0,4,https://www.vitaldent.com/blog/precios-implantes-dentales/,,2026-02-22 18:35:34,false,true,true,false,false,false
cuanto cuestan los brackets,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail, Video preview",800,0,0.87,319,0,1,https://www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,Featured snippet,2026-03-08 09:38:09,false,true,true,false,false,false
precio endodoncia vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",450,4,0.46,316,0,1,https://www.vitaldent.com/blog/que-es-una-endodoncia-multirradicular/,AI Overview,2026-03-11 10:22:38,false,true,true,false,true,false
extracción de muela infectada,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",900,0,0.53,314,0,2,https://www.vitaldent.com/blog/extraccion-muela-infectada-como-se-hace/,,2026-03-12 05:52:38,false,true,false,false,false,false
dolor de muela,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",1400,1,0.11,311,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-02-27 22:38:58,false,true,false,false,false,false
flemon dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",2400,0,0.03,309,0,3,https://www.vitaldent.com/blog/sabes-como-bajar-un-flemon/,People also ask,2026-03-06 23:28:15,false,true,false,false,false,false
ortodoncia,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail, Video preview",12000,8,1.00,302,0,6,https://www.vitaldent.com/es/ortodoncia/,,2026-03-08 23:57:03,false,true,false,false,false,false
dolor muelas del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",400,0,0.12,296,0,2,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,,2026-02-13 11:42:45,false,true,false,false,false,false
ortodoncia invisible opiniones,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Video preview",350,0,0.50,295,0,1,https://www.vitaldent.com/blog/ortodoncia-invisible-opiniones-ventajas-y-desventajas/,,2026-03-06 04:19:58,false,true,false,false,false,false
precio sacar muela vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Sitelinks",450,4,0.85,295,0,1,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,AI Overview,2026-03-11 07:10:09,false,true,true,false,true,false
que son carillas dentales,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1200,3,0.11,287,0,1,https://www.vitaldent.com/es/carillas-dentales/,AI Overview,2026-03-02 23:12:38,false,true,false,false,false,false
antironquidos,ES,Spain,Spanish,,"People also ask, Video preview, Shopping, Thumbnail",1600,0,0.10,280,0,3,https://www.vitaldent.com/es/tratamientos-antirronquido/,,2026-03-02 14:09:21,false,true,true,false,false,false
muela del juicio dolor,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Video preview",400,0,0.11,279,0,1,https://www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,,2026-02-23 09:03:54,false,true,false,false,false,false
bruxismo tratamiento,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail, Video preview",900,0,0.11,279,0,1,https://www.vitaldent.com/es/bruxismo/,Featured snippet,2026-03-05 07:21:11,false,true,false,false,false,false
precio carillas dentales vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",400,9,0.32,276,0,1,https://www.vitaldent.com/blog/carillas-de-porcelana-tipos-ventajas-y-tratamiento/,AI Overview,2026-02-02 07:19:08,false,true,true,false,true,false
dentadura postiza fija precio vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",300,0,0.33,273,0,1,https://www.vitaldent.com/es/protesis-dental-fija/,AI Overview,2026-03-11 14:19:14,false,true,true,false,true,false
precio dentadura postiza vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Sitelinks",900,0,0.52,270,0,1,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,AI Overview,2026-03-06 22:04:00,false,true,true,false,true,false
tiene cura la piorrea,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",700,0,0.18,264,0,1,https://www.vitaldent.com/blog/que-es-la-piorrea-causas-sintomas-y-soluciones-2/,AI Overview,2026-03-02 07:14:49,false,true,false,false,false,false
flemon en la encia,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1600,0,0.11,263,0,3,https://www.vitaldent.com/blog/sabes-como-bajar-un-flemon/,People also ask,2026-03-02 17:31:29,false,true,false,false,false,false
flemon grave,ES,Spain,Spanish,Flemon Grave (Location),"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",700,0,0.03,254,0,2,https://www.vitaldent.com/blog/sabes-como-bajar-un-flemon/,,2026-03-08 11:18:03,false,true,false,false,false,true
aliviar dolor de muelas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",600,2,0.04,254,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-08 05:08:22,false,true,false,false,false,false
precio limpieza dental vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, People also ask, Video preview",400,5,0.59,249,0,1,https://www.vitaldent.com/es/limpieza-dental-profesional-avanzada/,AI Overview,2026-02-26 01:32:16,false,true,true,false,true,false
protesis dental removible,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",1000,0,0.34,247,0,1,https://www.vitaldent.com/blog/protesis-dental-removible-que-es-y-tipos/,AI Overview,2026-03-02 06:22:11,false,true,false,false,false,false
curetaje dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",8200,0,0.05,246,0,1,https://www.vitaldent.com/blog/curetaje-dental-que-es-como-se-hace-y-cada-cuanto-tiempo/,AI Overview,2026-03-08 07:59:42,false,true,false,false,false,false
reconstruccion dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1600,0,0.90,246,0,1,https://www.vitaldent.com/es/reconstruccion-dental/,AI Overview,2026-03-05 13:37:10,false,true,false,false,false,false
como aliviar el dolor de muelas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",900,2,0.04,245,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-12 05:26:18,false,true,false,false,false,false
boca seca y pastosa,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",800,0,0.03,241,0,1,https://www.vitaldent.com/blog/sequedad-bucal-sintomas-soluciones/,AI Overview,2026-03-07 20:55:49,false,true,false,false,false,false
que es una corona dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",1000,0,0.08,239,0,1,https://www.vitaldent.com/blog/que-es-una-corona-dental/,AI Overview,2026-02-24 00:54:49,false,true,false,false,false,false
ratoncito perez,ES,Spain,Spanish,,"People also ask, Thumbnail, Video preview",6600,0,0.04,237,0,5,https://www.vitaldent.com/blog/origen-ratoncito-perez/,,2026-03-07 20:35:35,false,true,false,false,false,false
dentadura postiza,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",3400,0,0.35,235,0,4,https://www.vitaldent.com/blog/dentadura-postiza-que-es-que-tipos-hay-y-precauciones/,,2026-03-07 12:52:15,false,true,true,true,false,false
vitaldent trabaja con nosotros,ES,Spain,Spanish,Vitaldent (Organization),"People also ask, Video preview",250,0,0.11,234,0,1,https://www.vitaldent.com/es/trabaja-con-nosotros/,,2026-02-18 06:19:36,false,true,false,false,true,false
precio empaste vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Video preview, Thumbnail, People also ask",400,35,0.66,231,0,1,https://www.vitaldent.com/es/caries-dentales/,AI Overview,2026-02-21 08:52:40,false,true,true,false,true,false
puente dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",2600,0,0.40,227,0,1,https://www.vitaldent.com/blog/que-es-un-puente-maryland-y-cuando-se-utiliza/,AI Overview,2026-03-07 23:41:25,false,true,false,false,false,false
precio limpieza dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",1700,0,0.68,224,0,1,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,AI Overview,2026-03-08 01:10:23,false,true,false,false,false,false
sabor a metal en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",900,0,0.01,221,0,1,https://www.vitaldent.com/blog/sabor-metalico-en-la-boca/,AI Overview,2026-03-11 15:08:31,false,true,false,false,false,false
dentadura postiza fija,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",900,0,0.54,217,0,1,https://www.vitaldent.com/es/protesis-dental-fija/,,2026-03-08 22:45:21,false,true,false,false,false,false
protesis dental fija,ES,Spain,Spanish,,"Thumbnail, People also ask, Local pack, Video preview",700,0,0.39,217,0,1,https://www.vitaldent.com/es/protesis-dental-fija/,,2026-03-08 10:20:44,false,true,false,false,false,false
muela del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",6900,0,0.21,216,0,1,https://www.vitaldent.com/blog/extraccion-muelas-del-juicio/,AI Overview,2026-03-07 10:46:47,false,true,false,false,false,false
blanqueador dental,ES,Spain,Spanish,,"People also ask, Sitelinks, Thumbnail, Shopping, Video preview",5300,0,0.48,214,0,8,https://www.vitaldent.com/es/blanqueamiento-dental/,,2026-03-09 13:18:52,false,true,true,false,false,false
manchas negras en los dientes,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",450,0,0.09,214,0,1,https://www.vitaldent.com/blog/manchas-negras-en-los-dientes/,AI Overview,2026-02-17 12:57:40,false,true,false,false,false,false
vitalden,ES,Spain,Spanish,Vitaldent (Organization),"Local pack, Sitelinks, People also ask, Video preview",450,33,0.89,213,46,2,https://www.vitaldent.com/es/,,2026-02-18 14:15:28,false,true,true,false,true,false
clinica dental cerca de mi,ES,Spain,Spanish,,"Local pack, Thumbnail, People also ask, Video preview, Sitelinks",1700,40,0.87,213,0,3,https://www.vitaldent.com/es/,People also ask,2026-03-13 00:18:53,false,true,false,false,false,true
dolor de muelas remedios,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask",350,2,0.08,213,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-02-18 07:21:36,false,true,false,false,false,false
implante dental precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Shopping, Video preview",1400,0,0.30,208,0,1,https://www.vitaldent.com/blog/precios-implantes-dentales/,AI Overview,2026-03-11 11:26:44,false,true,true,false,false,false
anestesia casera para dolor de muela,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",800,0,0.05,208,0,1,https://www.vitaldent.com/blog/descubre-los-mejores-remedios-caseros-para-el-dolor-de-muelas/,AI Overview,2026-03-02 12:09:24,false,true,false,false,false,false
rechazo implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",1800,0,0.01,208,0,1,https://www.vitaldent.com/blog/cuales-son-los-sintomas-de-rechazo-de-implantes-dentales/,AI Overview,2026-03-07 08:08:24,false,true,false,false,false,false
por qué salen llagas en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",600,0,0.01,207,0,1,https://www.vitaldent.com/blog/llagas-en-la-boca-por-que-se-producen-y-como-se-tratan/,AI Overview,2026-03-05 09:27:19,false,true,false,false,false,false
reconstrucción dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",900,0,0.43,205,0,1,https://www.vitaldent.com/es/reconstruccion-dental/,AI Overview,2026-02-26 10:51:49,false,true,false,false,false,false
precio ortodoncia invisible vitaldent,ES,Spain,Spanish,Vitaldent (Organization),"AI Overview, Thumbnail, Video preview, People also ask",300,2,0.70,200,0,1,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,AI Overview,2026-03-07 05:30:31,false,true,true,false,true,false
hongos lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask",1600,0,0.01,198,0,1,https://www.vitaldent.com/blog/hongos-en-la-boca/,AI Overview,2026-03-12 09:52:06,false,true,false,false,false,false
estética dental,ES,Spain,Spanish,,"Local pack, Thumbnail, People also ask, Video preview",900,1,0.10,194,0,2,https://www.vitaldent.com/es/estetica-dental/,,2026-03-05 13:37:14,false,true,false,false,false,false
exodoncia cordal,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",350,0,1.32,193,0,2,https://www.vitaldent.com/blog/exodoncia-cordal-cuando-se-recomienda/,,2026-02-25 05:32:08,false,true,false,false,false,false
puentes dentales,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",700,0,0.39,192,0,1,https://www.vitaldent.com/es/puente-dental/,AI Overview,2026-03-09 15:57:05,false,true,false,false,false,false
cuanto vale un implante de muela,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",500,0,0.44,192,0,2,https://www.vitaldent.com/blog/precios-implantes-dentales/,,2026-03-08 18:53:53,false,true,true,false,false,false
sabor metálico en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",500,0,0.01,191,0,1,https://www.vitaldent.com/blog/sabor-metalico-en-la-boca/,AI Overview,2026-02-27 11:31:33,false,true,false,false,false,false
un flemón se cura solo,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",500,0,0.03,191,0,1,https://www.vitaldent.com/blog/sabes-como-bajar-un-flemon/,AI Overview,2026-03-02 09:53:06,false,true,false,false,false,false
cuanto cuesta una limpieza dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",1500,0,0.66,190,0,5,https://www.vitaldent.com/es/precios-de-tratamientos-dentales/,,2026-03-03 02:07:53,false,true,false,false,false,false
brackets precio,ES,Spain,Spanish,,"Thumbnail, People also ask, Shopping, Video preview",2100,0,0.64,183,0,2,https://www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,People also ask,2026-03-11 13:42:03,false,true,false,false,false,false
