Keyword,Country code,Location,Language,Entities,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Navigational,Informational,Commercial,Transactional,Branded,Local
dentadura postiza,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",3400,0,0.35,294,0,2,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,People also ask,2026-03-07 12:52:15,false,true,true,true,false,false
férula de descarga farmacia,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping, Video preview",800,0,0.04,284,0,1,https://www.cleardent.es/ferula-descarga-precio-farmacias/,,2026-03-07 23:38:36,false,true,true,false,false,false
implantes dentales sin tornillos,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",5800,0,0.23,283,0,1,https://www.cleardent.es/implantes-dentales-sin-tornillo-precio/,AI Overview,2026-03-07 03:53:27,false,true,false,false,false,false
mal sabor de boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1800,0,0.13,275,0,1,https://www.cleardent.es/mal-sabor-boca-continuo-causas-soluciones/,AI Overview,2026-03-01 01:02:26,false,true,false,false,false,false
porque se seca la boca por la noche,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",700,0,0.01,262,0,1,https://www.cleardent.es/boca-seca-por-la-noche/,AI Overview,2026-02-25 15:03:49,false,true,false,false,false,false
diseño de sonrisa precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",700,0,0.33,261,0,1,https://www.cleardent.es/diseno-de-sonrisa/,AI Overview,2026-03-12 10:36:56,false,true,true,false,false,false
llaga en la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",2800,0,0.02,260,0,1,https://www.cleardent.es/llagas-en-la-lengua-como-curarlas/,AI Overview,2026-03-07 11:22:17,false,true,false,false,false,false
cuanto tarda en salir la muela del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",600,0,,258,0,1,https://www.cleardent.es/cuanto-tarda-la-muela-del-juicio/,AI Overview,2026-03-02 14:25:26,false,true,false,false,false,false
puntitos blancos en el labio,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail, Video preview, Sitelinks",400,52,,246,0,1,https://www.cleardent.es/manchas-blancas-labios/,Featured snippet,2026-02-26 21:26:57,false,true,false,false,false,false
puntos blancos en la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",500,0,0.02,241,0,1,https://www.cleardent.es/grano-blanco-lengua-causas-tratamiento/,AI Overview,2026-03-05 12:03:14,false,true,false,false,false,false
curar boqueras rápido,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",600,0,0.08,240,0,1,https://www.cleardent.es/curar-boqueras-en-un-dia/,AI Overview,2026-03-01 15:49:44,false,true,false,false,false,false
ferula de descarga precio,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping, Video preview",700,0,0.17,231,0,1,https://www.cleardent.es/ferula-descarga-precio-farmacias/,,2026-02-26 14:43:33,false,true,true,false,false,false
bulto debajo de la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",400,0,,228,0,1,https://www.cleardent.es/torus-debajo-lengua/,AI Overview,2026-03-11 07:01:17,false,true,false,false,false,false
labio hinchado de repente,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask",700,0,0.04,217,0,1,https://www.cleardent.es/labio-inferior-hinchado-despertar/,AI Overview,2026-03-03 02:33:17,false,true,false,false,false,false
bultos al final de la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",250,0,,215,0,1,https://www.cleardent.es/papiloma-lengua-vph/,AI Overview,2026-02-18 14:58:22,false,true,false,false,false,false
que cubre el dentista de la seguridad social,ES,Spain,Spanish,Social Security (Organization),"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",500,0,0.01,210,0,1,https://www.cleardent.es/tratamientos-que-cubre-la-seguridad-social/,AI Overview,2026-03-07 13:51:47,false,true,false,false,false,false
dentadura fija sobre 4 implantes precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",1800,0,0.29,204,0,1,https://www.cleardent.es/protesis-fija-sobre-6-implantes-precio/,AI Overview,2026-03-11 06:33:37,false,true,true,false,false,false
dentadura,ES,Spain,Spanish,,"People also ask, Thumbnail, AI Overview, Video preview, Shopping",2700,0,0.33,199,0,1,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,People also ask,2026-03-11 07:16:26,false,true,false,false,false,false
cuanto cuesta sacar una muela,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask",350,0,0.67,183,0,1,https://www.cleardent.es/cuanto-cuesta-sacar-una-muela/,AI Overview,2026-03-04 02:00:52,false,true,false,false,false,false
cepillo electrico,ES,Spain,Spanish,,"People also ask, Shopping, Thumbnail, Video preview",11000,0,0.12,177,0,10,https://www.cleardent.es/cepillo-electrico/,,2026-03-08 12:17:31,false,true,true,false,false,false
vick vaporub para dejar de roncar,ES,Spain,Spanish,Vick Vaporub (Product),"AI Overview, Thumbnail, Sitelinks, People also ask",500,0,0.15,176,0,1,https://www.cleardent.es/dejar-de-roncar/,AI Overview,2026-03-12 15:48:47,false,true,false,false,true,false
absceso,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",11000,4,0.02,167,0,1,https://www.cleardent.es/remedios-caseros-absceso-piel/,AI Overview,2026-03-08 05:08:24,false,true,false,false,false,false
como eliminar tonsilolitos para siempre,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask, Sitelinks",450,25,0.02,165,0,2,https://www.cleardent.es/tonsilolitos-que-son-como-prevenirlos-y-tratarlos/,,2026-02-14 03:32:43,false,true,false,false,false,false
días de baja por extracción de muela del juicio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1400,0,,160,0,1,https://www.cleardent.es/dias-de-baja-por-muela-del-juicio/,AI Overview,2026-03-03 18:14:38,false,true,false,false,false,false
manchas blancas en la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",500,0,0.09,159,0,1,https://www.cleardent.es/manchas-blancas-en-la-lengua/,AI Overview,2026-02-19 08:00:25,false,true,false,false,false,false
sialoadenitis,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask",2300,0,0.09,154,0,4,https://www.cleardent.es/sialoadenitis-causas-sintomas-tratamiento/,,2026-02-25 01:22:16,false,true,false,false,false,false
cleardent almeria,ES,Spain,English,"Cleardent (Organization), Almeria (Location)","People also ask, Thumbnail, Knowledge panel",200,1,,153,0,1,https://www.cleardent.es/clinica-dental/almeria/almeria-capital/,,2026-02-27 23:09:12,false,true,false,false,true,true
tonsilolitos como eliminarlos,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",500,28,0.01,152,0,1,https://www.cleardent.es/tonsilolitos-que-son-como-prevenirlos-y-tratarlos/,AI Overview,2026-03-04 01:25:20,false,true,false,false,false,false
sangrado de encías cáncer,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1300,0,0.16,150,0,1,https://www.cleardent.es/cancer-de-encias-sintomas-causas-y-tratamiento/,AI Overview,2026-03-07 16:51:30,false,true,false,false,false,false
6 piezas puente dental precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",350,0,0.79,149,0,1,https://www.cleardent.es/puente-dental-6-piezas-precio/,AI Overview,2026-02-18 09:34:55,false,true,true,false,false,false
herpes labial tratamiento,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask",3100,0,0.01,147,0,1,https://www.cleardent.es/curar-herpes-labial-en-horas/,AI Overview,2026-03-12 10:37:44,false,true,false,false,false,false
mejores cepillos electricos,ES,Spain,Spanish,,"People also ask, Video preview, Shopping, Thumbnail",500,0,0.22,146,0,2,https://www.cleardent.es/cepillo-electrico/,,2026-02-18 11:42:29,false,true,true,false,false,false
prótesis dentales fijas sin implantes,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",400,0,0.29,146,0,1,https://www.cleardent.es/dentadura-fija-sin-implantes/,AI Overview,2026-03-09 00:38:44,false,true,false,false,false,false
tipos de coronas dentales y precios,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",500,0,0.31,144,0,1,https://www.cleardent.es/tipos-coronas-dentales-precios/,AI Overview,2026-02-12 13:49:16,false,true,true,false,false,false
labios hinchados,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",500,0,,143,0,1,https://www.cleardent.es/labios-hinchados/,AI Overview,2026-03-09 03:08:10,false,true,false,false,false,false
granos en la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",1700,0,0.03,142,0,1,https://www.cleardent.es/tipos-granos-lengua/,AI Overview,2026-03-11 08:35:26,false,true,false,false,false,false
mal sabor de boca cáncer,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",400,0,,138,0,1,https://www.cleardent.es/sabor-raro-boca-cancer/,AI Overview,2026-03-08 06:29:54,false,true,false,false,false,false
curetaje dental precio,ES,Spain,Spanish,,"Featured snippet, People also ask, Sitelinks, Video preview",1200,0,0.31,138,0,4,https://www.cleardent.es/precio-curetaje-dental-4-cuadrantes/,,2026-03-12 08:41:34,false,true,true,false,false,false
dentadura postiza de quita y pon,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping, Video preview",400,0,0.27,138,0,1,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,,2026-02-25 17:41:24,false,true,false,false,false,false
puente dental de 3 piezas,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, Sitelinks, People also ask",400,0,0.54,137,0,1,https://www.cleardent.es/puente-dental-3-piezas-precio/,AI Overview,2026-02-18 14:18:13,false,true,false,false,false,false
cuanto cuesta un implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",1900,0,0.30,133,0,1,https://www.cleardent.es/implantes-dentales/precios-implantes-dentales/,AI Overview,2026-02-22 18:35:34,false,true,true,false,false,false
corona de zirconio precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",250,0,0.59,131,0,1,https://www.cleardent.es/tipos-coronas-dentales-precios/,AI Overview,2026-02-28 12:39:07,false,true,true,false,false,false
dentadura postiza fija,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",900,0,0.54,130,0,4,https://www.cleardent.es/dentadura-fija-sin-implantes/,,2026-03-08 22:45:21,false,true,false,false,false,false
protesis dental fija precio,ES,Spain,Spanish,,"Featured snippet, People also ask, Video preview",2100,0,0.31,129,0,7,https://www.cleardent.es/dentadura-fija-sobre-4-implantes-precio/,,2026-03-08 06:02:32,false,true,true,false,false,false
expansor de paladar,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1600,0,0.46,128,0,3,https://www.cleardent.es/hasta-que-edad-expansor-paladar/,,2026-03-06 02:01:57,false,true,false,false,false,false
cleardent precios,ES,Spain,Spanish,Cleardent (Organization),"People also ask, Sitelinks",150,0,0.31,128,0,1,https://www.cleardent.es/precios/,,2025-12-26 01:57:55,false,true,true,false,true,false
bulto debajo de la barbilla,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",300,0,,126,0,1,https://www.cleardent.es/bulto-mandibula-inferior-movil/,AI Overview,2026-02-20 05:31:22,false,true,false,false,false,false
bulto en labios mayores fotos,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1100,20,,125,0,4,https://www.cleardent.es/bulto-labio-por-fuera/,,2026-03-01 16:19:33,false,true,false,false,false,false
precio dentadura postiza fija completa,ES,Spain,Spanish,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Shopping, Video preview",700,0,0.42,124,0,4,https://www.cleardent.es/protesis-fija-sobre-6-implantes-precio/,,2026-02-25 00:35:20,false,true,true,false,false,false
dentaduras postizas de quita y pon,ES,Spain,Spanish,,"Thumbnail, Sitelinks, People also ask, Shopping",150,0,0.35,124,0,1,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,,2026-02-18 02:16:32,false,true,false,false,false,false
dentist near me,ES,Spain,English,,"Local pack, Thumbnail",4700,4,1.16,122,0,8,https://www.cleardent.es/clinica-dental/cordoba/bujalance/,,2026-03-07 03:33:42,false,true,false,false,false,true
cleardent linares,ES,Spain,Spanish,"Cleardent Linares (Organization), Linares (Location)","People also ask, Thumbnail, Sitelinks",200,0,1.97,121,0,1,https://www.cleardent.es/clinica-dental/jaen/linares/,,2026-03-08 16:27:59,false,true,false,false,true,true
como arreglar un diente roto sin ir al dentista,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",350,0,0.14,119,0,1,https://www.cleardent.es/arreglar-un-diente-en-casa/,AI Overview,2026-03-05 11:16:56,false,true,false,false,false,false
eliminar herpes labial en horas,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks",1500,0,0.01,119,0,1,https://www.cleardent.es/curar-herpes-labial-en-horas/,AI Overview,2026-03-06 20:25:08,false,true,false,false,false,false
sabor amargo en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",1700,0,,119,0,1,https://www.cleardent.es/sabor-amargo-boca-cancer/,AI Overview,2026-03-05 15:38:39,false,true,false,false,false,false
muela rota al ras de la encía,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",350,0,0.69,118,0,2,https://www.cleardent.es/muela-rota-al-ras-de-la-encia/,,2026-02-17 15:34:31,false,true,false,false,false,false
escala ramsay,ES,Spain,Spanish,"Ramsay Scale (Work), Ramsay Scale (Event)","People also ask, Thumbnail, AI Overview, Video preview",1000,0,,117,0,1,https://www.cleardent.es/que-es-la-escala-de-ramsay/,People also ask,2026-03-07 22:14:46,false,true,false,false,false,false
bulto en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",300,0,,117,0,1,https://www.cleardent.es/bulto-labio-superior-boca/,AI Overview,2026-02-28 14:52:23,false,true,false,false,false,false
frenillo labio superior,ES,Spain,Spanish,,"Featured snippet, People also ask, Thumbnail, Video preview",450,0,,116,0,1,https://www.cleardent.es/frenillo-labial-superior-roto-se-regenera/,Featured snippet,2026-03-11 15:48:04,false,true,false,false,false,false
sensacion de tener algo en la garganta,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",800,0,,116,0,1,https://www.cleardent.es/sensacion-nudo-garganta/,AI Overview,2026-02-25 16:22:09,false,true,false,false,false,false
uvulitis,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask",1000,0,,116,0,4,https://www.cleardent.es/uvulitis-que-es-tratamiento/,,2026-02-28 09:52:35,false,true,false,false,false,false
prótesis dental removible sin ganchos precios,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",1200,0,0.30,115,0,1,https://www.cleardent.es/protesis-dentales-sin-ganchos-ni-paladar/,AI Overview,2026-03-03 01:50:23,false,true,true,false,false,false
precio dentadura postiza,ES,Spain,Spanish,,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",200,0,0.43,114,0,1,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,,2026-02-13 22:29:28,false,true,true,false,false,false
dolor de muelas insoportable,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",1500,0,0.08,114,0,7,https://www.cleardent.es/dolor-de-muelas-insoportable/,,2026-03-09 04:22:20,false,true,false,false,false,false
cleardent madrid,ES,Spain,English,"Cleardent (Organization), Madrid (Location)","Local pack, Thumbnail, People also ask",150,1,,113,0,2,https://www.cleardent.es/clinica-dental/madrid/,,2026-03-08 10:15:52,false,true,false,false,true,true
dientes fijos sin tornillos precio,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Shopping, Video preview",300,0,0.33,112,0,1,https://www.cleardent.es/implantes-dentales-sin-tornillo-precio/,AI Overview,2026-03-06 08:16:24,false,true,true,false,false,false
dolor de dientes,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",1500,1,0.13,112,0,4,https://www.cleardent.es/dolor-boca-dientes-causas-tratamiento/,,2026-03-07 15:36:00,false,true,false,false,false,false
sabor raro en la boca cáncer,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",250,0,,111,0,1,https://www.cleardent.es/sabor-raro-boca-cancer/,AI Overview,2026-03-03 01:37:23,false,true,false,false,false,false
sequedad de boca por la noche,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview",250,3,0.01,111,0,1,https://www.cleardent.es/boca-seca-por-la-noche/,AI Overview,2026-03-06 00:53:07,false,true,false,false,false,false
punto blanco en la lengua,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",250,0,0.02,110,0,1,https://www.cleardent.es/grano-blanco-lengua-causas-tratamiento/,AI Overview,2026-02-19 16:44:48,false,true,false,false,false,false
se puede tomar café después de un implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",300,0,,110,0,1,https://www.cleardent.es/se-puede-tomar-cafe-despues-de-un-implante-dental/,AI Overview,2026-02-22 00:36:31,false,true,false,false,false,false
mejor cepillo electrico,ES,Spain,Spanish,,"People also ask, Sitelinks, Video preview, Shopping, Thumbnail",900,0,0.23,110,0,5,https://www.cleardent.es/cepillo-electrico/,,2026-03-10 04:31:01,false,true,true,false,false,false
bulto en la mandibula,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",300,0,0.07,110,0,1,https://www.cleardent.es/bulto-mandibula-inferior-movil/,AI Overview,2026-02-05 16:43:58,false,true,false,false,false,false
nudo en la garganta,ES,Spain,Spanish,,"AI Overview, Video preview, Thumbnail, People also ask",1000,0,2.96,109,0,1,https://www.cleardent.es/sensacion-nudo-garganta/,AI Overview,2026-03-06 20:28:56,false,true,false,false,false,false
mejor cepillo electrico calidad precio,ES,Spain,Spanish,,"Sitelinks, People also ask, Video preview, Shopping, Thumbnail",200,0,0.16,108,0,1,https://www.cleardent.es/cepillo-electrico/,,2026-01-28 00:27:54,false,true,true,false,false,false
blanqueamiento dental en casa con férulas opiniones,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",300,0,0.10,107,0,1,https://www.cleardent.es/blanqueamiento-dental-casa-ferulas-opiniones/,AI Overview,2026-02-26 01:21:11,false,true,false,false,false,false
cuanto cuesta extraer una muela,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask",200,0,0.37,105,0,1,https://www.cleardent.es/cuanto-cuesta-sacar-una-muela/,AI Overview,2026-03-05 02:49:42,false,true,false,false,false,false
sabor salado en la boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",300,0,,104,0,1,https://www.cleardent.es/sabor-salado-boca-causas-tratamiento/,AI Overview,2026-02-22 01:01:55,false,true,false,false,false,false
grano en la encia,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",250,0,0.12,104,0,1,https://www.cleardent.es/granito-encia-sin-dolor/,AI Overview,2026-02-19 10:23:27,false,true,false,false,false,false
remedios caseros para reventar un absceso,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks",300,0,,104,0,2,https://www.cleardent.es/remedios-caseros-absceso-piel/,,2026-03-05 17:19:23,false,true,false,false,false,false
puntos blancos en la garganta,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",900,44,0.02,103,0,1,https://www.cleardent.es/tonsilolitos-que-son-como-prevenirlos-y-tratarlos/,AI Overview,2026-03-03 19:21:12,false,true,false,false,false,false
dentadura postiza fija sin implantes,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask, Local pack",2000,0,0.31,103,0,1,https://www.cleardent.es/dentadura-fija-sin-implantes/,AI Overview,2026-02-25 19:12:26,false,true,false,false,false,false
ferula dental,ES,Spain,Spanish,,"People also ask, Shopping, Thumbnail, Video preview",3000,0,0.13,102,0,7,https://www.cleardent.es/ferula-descarga-efectos-secundarios/,,2026-03-12 11:17:46,false,true,true,false,false,false
cuanto cuesta sacarse una muela,ES,Spain,Spanish,,"Sitelinks, People also ask, Thumbnail",150,0,0.36,98,0,1,https://www.cleardent.es/cuanto-cuesta-sacar-una-muela/,,2026-01-04 00:57:34,false,true,true,false,false,false
muela del juicio infectada,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",3900,0,0.40,98,0,1,https://www.cleardent.es/muela-del-juicio-infectada/,AI Overview,2026-03-10 05:53:36,false,true,false,false,false,false
cara hinchada por implante dental,ES,Spain,Spanish,,"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",250,0,,98,0,1,https://www.cleardent.es/cara-hinchada-implante-dental/,AI Overview,2026-02-03 19:04:54,false,true,false,false,false,false
encias inflamadas,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask",5900,0,0.35,97,0,13,https://www.cleardent.es/tengo-las-encias-inflamadas-que-puede-ser/,,2026-03-07 02:32:26,false,true,false,false,false,false
bolitas en los labios boca,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",250,28,,96,0,1,https://www.cleardent.es/bolitas-labios-boca/,AI Overview,2026-02-23 17:05:03,false,true,false,false,false,false
cuanto cuesta una dentadura postiza de quita y pon,ES,Spain,Spanish,,"People also ask, Thumbnail, Sitelinks, Shopping, Video preview",400,0,0.42,95,0,2,https://www.cleardent.es/precio-dentadura-postiza-quita-y-pon-todo-lo-que-necesitas-saber/,,2026-03-07 02:57:28,false,true,true,false,false,false
raspado de encias,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, Sitelinks, People also ask",600,0,0.26,95,0,4,https://www.cleardent.es/raspado-de-encias-que-es-y-cuando-se-realiza/,,2026-03-11 11:22:53,false,true,false,false,false,false
sarro dientes,ES,Spain,Spanish,,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview",3200,0,0.17,94,0,1,https://www.cleardent.es/por-que-me-sale-sarro-en-los-dientes-de-abajo/,AI Overview,2026-03-11 04:14:08,false,true,false,false,false,false
tengo algo en la garganta que no se me quita,ES,Spain,Spanish,,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks",700,2,0.23,94,0,1,https://www.cleardent.es/sensacion-nudo-garganta/,AI Overview,2026-03-04 01:38:58,false,true,false,false,false,false
precio de blanqueamiento dental,ES,Spain,Spanish,,"Sitelinks, People also ask, Video preview, Shopping, Thumbnail",300,0,0.46,93,0,1,https://www.cleardent.es/cuanto-cuesta-un-blanqueamiento-dental/,,2026-03-05 08:17:50,false,true,true,false,false,false
